date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:03:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:03%20GMT	http://nonfungiblecrib.my.canva.site/media/cae88880383bc2396a83d297832bbe23.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/cae88880383bc2396a83d297832bbe23.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:04%20GMT	http://nonfungiblecrib.my.canva.site/media/6b4f46663f16c7818a53816defd735e6.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/6b4f46663f16c7818a53816defd735e6.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:04	78396/78396	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Nov%202024%2022:56:07%20GMT	https://nonfungiblecrib.my.canva.site/media/cae88880383bc2396a83d297832bbe23.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/cae88880383bc2396a83d297832bbe23.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:04	5953/5953	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Nov%202024%2022:28:53%20GMT	https://nonfungiblecrib.my.canva.site/media/6b4f46663f16c7818a53816defd735e6.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/6b4f46663f16c7818a53816defd735e6.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:05%20GMT	http://nonfungiblecrib.my.canva.site/media/ed298192d8b3b3e61aab181b44783190.svg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/ed298192d8b3b3e61aab181b44783190.svg	(from https://nonfungiblecrib.my.canva.site/)
00:03:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:07%20GMT	http://nonfungiblecrib.my.canva.site/media/96ad1eea7d6724cba3feaa40a80c3d2e.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/96ad1eea7d6724cba3feaa40a80c3d2e.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:06	4500/4500	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2022%20Nov%202024%2022:28:01%20GMT	https://nonfungiblecrib.my.canva.site/media/ed298192d8b3b3e61aab181b44783190.svg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/ed298192d8b3b3e61aab181b44783190.svg	(from https://nonfungiblecrib.my.canva.site/)
00:03:06	15902/15902	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Nov%202024%2022:27:13%20GMT	https://nonfungiblecrib.my.canva.site/media/96ad1eea7d6724cba3feaa40a80c3d2e.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/96ad1eea7d6724cba3feaa40a80c3d2e.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:07%20GMT	http://nonfungiblecrib.my.canva.site/media/c94c52a78ff29f4546eabfad4059e7a7.svg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/c94c52a78ff29f4546eabfad4059e7a7.svg	(from https://nonfungiblecrib.my.canva.site/)
00:03:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:08%20GMT	http://nonfungiblecrib.my.canva.site/media/73d65eb9afe3d916d0999d64d9236d06.svg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/73d65eb9afe3d916d0999d64d9236d06.svg	(from https://nonfungiblecrib.my.canva.site/)
